Series title,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020,1/1/2021,1/2/2021,1/3/2021,1/4/2021,1/5/2021,1/6/2021,1/7/2021,1/8/2021,1/9/2021,1/10/2021,1/11/2021,1/12/2021,1/1/2022,1/2/2022,1/3/2022,1/4/2022,1/5/2022,1/6/2022,1/7/2022,1/8/2022,1/9/2022,1/10/2022,1/11/2022,1/12/2022,1/1/2023,1/2/2023,1/3/2023,1/4/2023,1/5/2023,1/6/2023,1/7/2023,1/8/2023,1/9/2023,1/10/2023,1/11/2023,1/12/2023,1/1/2024,1/2/2024,1/3/2024,1/4/2024,
ALL DIVISIONS - ALL ITEMS,0.1,1.4,0.5,0.2,0.2,0.8,0.6,1.3,-1.6,-0.1,1.1,-0.5,1.2,0.7,1.5,0.9,2.3,1,0,0.8,0.6,0.8,1.6,-0.1,0.3,0.8,0.7,0.9,1.4,1.5,0.4,0,-0.6,0.5,0.1,-0.4,0.6,1,1.1,1,0.5,0.8,1.6,0.5,-0.1,-0.6,-0.5,-0.7,
FOOD AND NON-ALCOHOLIC BEVERAGES,1.1,3.6,1.2,-0.5,0,1,1.7,2.4,-4.6,-1.3,0.2,0.5,1.1,1.9,2.3,1.8,3,2.5,-1.8,-0.5,0,1.3,1.9,0.5,0.4,1.7,1.4,1.7,1.1,2,2,-1,-0.9,0,0.8,0.6,0.7,1.3,2.3,1.4,0.1,0.7,1,0.3,-0.7,-1.1,-1.8,-0.6,
    FOOD,1.1,3.8,1.3,-0.6,0,1,1.8,2.5,-4.8,-1.4,0.2,0.5,1.1,1.9,2.4,1.8,3.1,2.6,-1.9,-0.6,0,1.3,2,0.4,0.4,1.7,1.4,1.8,1.1,2.1,2.1,-1.1,-1,-0.1,0.8,0.6,0.7,1.3,2.4,1.4,0.1,0.7,1.1,0.3,-0.8,-1.2,-2,-0.7,
      Cereals and cereal products (ND),0.6,0.7,0.8,0.4,1,0.4,0.3,0.2,0.5,0.4,1.5,0.6,0.6,2.6,1.7,0.5,0.6,0.7,1.4,1.2,0.9,0.7,0.6,1.4,2.4,1.9,1.7,1.5,0.7,0.4,0.4,0.4,0.3,0.4,0.2,0.2,1,0.4,0.3,0.2,0.3,0.2,0.7,0.2,0.2,0.2,0.2,0.5,
      Meat and other parts of slaughtered land animals (ND),0.6,1.1,0.7,0.6,2.1,0.8,0.7,0.6,0.4,0.4,0.4,0.8,0.6,1.9,1.7,1.2,0.9,2,1.2,1.4,1.5,2.2,1.5,1.6,1.5,1.8,0.8,0.9,0.2,0.5,0.5,0.4,0.4,0.4,0.5,0.3,0.3,0.3,0.3,0.1,0.3,0.2,0.5,0.3,0.5,0.3,0.3,0.2,
      Fish  and Seafood (ND),0.9,0.7,0.9,0.4,0.5,0.5,0.4,0.4,0.6,0.6,0.6,0.6,0.5,1.1,0.8,0.7,0.9,0.5,0.5,0.9,1,1.2,0.8,3,1.4,1.1,0.7,-0.4,0.6,0.6,0.6,0.4,0.5,0.4,0.3,0.4,0.3,0.3,0.2,0.4,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,
"      Milk, other dairy products and eggs (ND)",0.6,0.4,0.6,0.4,0.4,0.5,0.4,0.5,0.6,0.6,0.5,0.3,0.5,1.1,1.3,0.8,0.7,0.6,0.6,0.8,1.2,0.9,1.1,1.7,1.1,1.7,0.6,1.1,0.8,0.6,0.8,0.6,1.1,0.6,0.6,0.5,0.6,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.3,0.3,
      Oils and Fats (ND),0.8,0.6,0.5,0.5,0.3,0.6,1.1,0.5,0.7,0.3,0.3,0.9,0.4,1.2,1.8,3.1,0.9,0.8,0.6,0.8,0.9,2,0.9,1,0.7,2.5,1.6,2,1.9,0.4,0.4,0.3,0.5,0.5,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.1,0.1,0.1,0.1,0.2,
      Fruits and nuts (ND),1.8,1.6,1.1,-0.5,0,1.8,1.4,1.5,-5.6,-0.5,0.2,0.9,2.2,-1.3,-1.7,2.9,4.3,4.5,0.5,-1.2,0.9,1.5,2.4,-1.1,-1.5,0.5,0.4,0.8,-0.7,1.2,2.4,1.6,-0.5,1.8,0.3,-1.8,0.2,-1,-0.8,2.4,3.8,2.6,1.9,1.8,0.5,3.3,-0.6,-0.6,
"      Vegetables, tubers, plantains, cooking bananas and pulses (ND)",2.3,14.4,3.1,-3.6,-2.8,2.2,5.7,7.8,-17.8,-7.5,-1.7,0.1,3,4,7,4.4,9.9,6.8,-10.3,-5.6,-3.6,1,5.3,-3.3,-2.9,2.2,3,5.1,3.5,7.1,6.5,-6.3,-5.8,-2.4,2.5,2.4,1.3,5.3,9.9,4,-1.9,1.2,1.7,-1.1,-3.5,-6.3,-8.6,-3.7,
"        Tubers, Plantains and cooking Banana (Starchy Foods)",2.9,15.6,7.2,6.5,-3.6,-5.2,-4.7,-7.8,-8.1,-3.5,-1.7,3.9,12.8,3.5,6.8,9.1,0.6,-3.4,-6.5,-4.6,-3.7,-0.4,0.7,-0.9,-1.8,9.4,2.9,4.1,1.2,-1.4,2,-0.6,-1.3,1.2,3.5,2.8,5.4,5.1,7.1,3.8,-1.4,-0.1,0.2,-2.8,-2,-4.8,-5.1,-3.6,
        Vegetables,2.1,14,1.5,-7.8,-3.5,6.6,11,12.9,-21.1,-8.3,-1.6,-1.2,-0.7,3.9,7.2,2.1,14.5,11.3,-11.8,-5.8,-3.5,1.4,6.9,-4.2,-3.2,-0.3,3.1,5.5,4.4,10.3,7.4,-8.1,-7.1,-3.7,2.1,2.3,-0.3,5.4,11.3,4.1,-2.2,1.7,2.3,-0.4,-4.1,-6.9,-10,-4,
"      Sugar, confectionery and desserts (ND)",1.2,1.9,0.6,0.3,0.3,0.2,0.7,0.5,0.1,0.1,0.2,0.7,0.4,0.8,1.4,1.2,0.7,0.2,0.2,0.7,0.3,1.4,1.1,0.9,0.6,0.9,0.7,0.9,0.4,2.7,1.3,0.1,1.2,0.5,1.2,0.6,0.5,1.1,0.7,1.2,0.6,0.5,0.4,0.5,0.2,0.8,0.5,0.1,
      Ready-made food and other food products n.e.c. (ND),-1.1,3.2,-0.1,0.5,-0.2,0.5,1.2,4.5,-3.9,-1,0.9,0.3,-0.2,0.6,1.1,1.2,2.2,0,-0.4,0.8,-0.4,1.1,0.5,1.5,0.1,1.6,0.8,1,1,1.3,1.3,0.8,0.4,0.1,0.5,0.5,0.7,0.4,0.7,2.5,2.2,1.3,3.9,4.2,-2.4,-2.7,-3,-1.1,
    NON-ALCOHOLIC BEVERAGES,0.8,0.4,0.6,0.5,0.5,0.4,0.5,0.4,0.4,0.2,0.2,0.4,0.2,0.6,0.8,0.5,0.6,0.5,0.4,0.9,0.8,1,0.6,1.1,1.1,1.3,1,1.1,0.8,1.1,1,1,0.7,1.2,0.7,1.1,0.8,0.8,0.7,0.5,0.6,0.5,0.5,0.8,0.5,0.6,0.4,0.4,
